Date,Time,Open,Highest,Lowest,Adjust,Volume,Rate_high,Rate_low
1996.02.18,0:00,0.7567,0.7586,0.7494,0.7575,435,0.002510903,-0.009647152
1996.02.25,0:00,0.7566,0.768,0.7553,0.7616,423,0.006342495,-0.001718213
1996.03.03,0:00,0.7634,0.7695,0.7568,0.7689,349,0.003785901,-0.008645533
1996.03.10,0:00,0.7685,0.7768,0.766,0.7733,301,0.001683938,-0.00325309
1996.03.17,0:00,0.7728,0.779,0.772,0.7769,286,0.00634715,-0.001035197
1996.03.24,0:00,0.7755,0.7845,0.772,0.783,405,0.005263834,-0.004513217
1996.03.31,0:00,0.7845,0.788,0.7789,0.7845,387,0.003838772,-0.007138305
1996.04.07,0:00,0.7831,0.7927,0.7815,0.7917,382,0.013830196,-0.002043162
1996.04.14,0:00,0.792,0.7937,0.7809,0.786,375,0.003831418,-0.014015152
1996.04.21,0:00,0.7843,0.792,0.783,0.7905,346,0.007648184,-0.001657529
1996.04.28,0:00,0.7891,0.7982,0.7845,0.7974,362,0.003018868,-0.005829426
1996.05.05,0:00,0.7966,0.805,0.795,0.802,398,0.006273526,-0.002008536
1996.05.12,0:00,0.8012,0.8041,0.797,0.801,443,0.014823261,-0.005242137
1996.05.19,0:00,0.7991,0.801,0.7893,0.7912,467,0.002534212,-0.012263797
1996.05.26,0:00,0.7904,0.8002,0.7892,0.7989,315,0.017966361,-0.001518219
1996.06.02,0:00,0.8,0.8036,0.7848,0.7926,417,0.00775588,-0.019
1996.06.09,0:00,0.7906,0.7955,0.7865,0.7932,378,0.008390542,-0.005185935
1996.06.16,0:00,0.792,0.7933,0.7866,0.7895,348,0.005348275,-0.006818182
1996.06.23,0:00,0.7881,0.7935,0.7853,0.7871,332,0.008456118,-0.003552849
1996.06.30,0:00,0.7872,0.7975,0.7805,0.7956,419,0.005180038,-0.008511179
1996.07.07,0:00,0.7944,0.8003,0.7915,0.7976,386,0.018646232,-0.003650554
1996.07.14,0:00,0.7965,0.798,0.783,0.7918,531,0.00930529,-0.016949153
1996.07.21,0:00,0.791,0.7932,0.7845,0.7868,488,0.023812622,-0.008217446
1996.07.28,0:00,0.7871,0.7895,0.7685,0.7739,615,0.003110823,-0.023631051
1996.08.04,0:00,0.7726,0.7817,0.7715,0.7798,433,0.004508566,-0.001423764
1996.08.11,0:00,0.7786,0.7846,0.7763,0.7832,327,0.000383191,-0.00295402
1996.08.18,0:00,0.7829,0.7938,0.7829,0.7917,456,0.006739573,0
1996.08.25,0:00,0.7908,0.7945,0.7864,0.7902,355,0.00241025,-0.005563986
1996.09.01,0:00,0.7905,0.8009,0.7883,0.8,340,0.012658228,-0.002783049
1996.09.08,0:00,0.799,0.8024,0.79,0.7912,367,0.006615776,-0.01126408
1996.09.15,0:00,0.7917,0.7948,0.786,0.7921,432,0.008916062,-0.007199697
1996.09.22,0:00,0.791,0.7942,0.7851,0.7902,334,0.003173797,-0.007458913
1996.09.29,0:00,0.7907,0.797,0.7877,0.789,405,0.004455761,-0.003794106
1996.10.06,0:00,0.7885,0.7929,0.7855,0.7906,444,0.002790462,-0.003804692
1996.10.13,0:00,0.7906,0.797,0.7884,0.7957,330,0.009131262,-0.002782697
1996.10.20,0:00,0.7951,0.8001,0.7885,0.7905,407,0.003937008,-0.008300843
1996.10.27,0:00,0.7905,0.7948,0.7874,0.789,380,0.009855369,-0.003921569
1996.11.03,0:00,0.7885,0.7935,0.7813,0.7879,556,0.002417303,-0.009131262
1996.11.10,0:00,0.7881,0.7925,0.786,0.7906,365,0.000886188,-0.002664636
1996.11.17,0:00,0.7903,0.8152,0.7899,0.8146,470,0.009667824,-0.000506137
1996.11.24,0:00,0.8128,0.8173,0.8068,0.8166,500,0.040254777,-0.00738189
1996.12.01,0:00,0.817,0.8215,0.785,0.798,983,0.012561858,-0.039167687
1996.12.08,0:00,0.7986,0.8053,0.7881,0.792,537,0.002531646,-0.013148009
1996.12.15,0:00,0.7931,0.7974,0.79,0.7956,354,0.002393852,-0.003908713
1996.12.22,0:00,0.7955,0.8005,0.7937,0.7955,295,0.009133579,-0.002262728
1996.12.29,0:00,0.797,0.799,0.7883,0.7906,369,0.02250388,-0.010915935
1997.01.05,0:00,0.7907,0.7923,0.7732,0.782,659,0.010989011,-0.022132288
1997.01.12,0:00,0.7815,0.7831,0.7735,0.781,512,0.014549234,-0.010236724
1997.01.19,0:00,0.7819,0.7826,0.7698,0.773,467,0.018445323,-0.015475125
1997.01.26,0:00,0.7725,0.7741,0.759,0.7623,558,0.005009888,-0.017475728
1997.02.02,0:00,0.7626,0.7701,0.7585,0.762,645,0.00980652,-0.005376344
1997.02.09,0:00,0.761,0.7735,0.7546,0.765,660,0.002621232,-0.008409987
1997.02.16,0:00,0.7646,0.7798,0.763,0.778,465,0.006207967,-0.002092597
1997.02.23,0:00,0.7761,0.7825,0.7732,0.7791,498,-0.000513149,-0.003736632
1997.03.02,0:00,0.7805,0.7918,0.7795,0.7866,484,0.002293578,-0.00128123
1997.03.09,0:00,0.7868,0.8005,0.7848,0.7985,463,0.02057771,-0.002541942
